listed_date,order_book_id
2016-01-04,000793.XSHE
2016-01-04,600383.XSHG
2016-01-04,600171.XSHG
2016-01-04,002227.XSHE
2016-01-04,300151.XSHE
2016-01-04,600687.XSHG
2016-01-04,002037.XSHE
2016-01-04,600718.XSHG
2016-01-04,000922.XSHE
2016-01-04,300353.XSHE
2016-01-04,002182.XSHE
2016-01-04,000721.XSHE
2016-01-04,600692.XSHG
2016-01-04,002522.XSHE
2016-01-04,002316.XSHE
2016-01-04,002758.XSHE
2016-01-04,300258.XSHE
2016-01-04,300179.XSHE
2016-01-04,300188.XSHE
2016-01-04,000965.XSHE
2016-01-04,002330.XSHE
2016-01-04,000807.XSHE
2016-01-04,002260.XSHE
2016-01-04,600410.XSHG
2016-01-04,002739.XSHE
2016-01-04,300009.XSHE
2016-01-04,000060.XSHE
2016-01-04,300469.XSHE
2016-01-04,603729.XSHG
2016-01-04,000697.XSHE
2016-01-04,600061.XSHG
2016-01-04,601101.XSHG
2016-01-04,600439.XSHG
2016-01-04,300363.XSHE
2016-01-04,000752.XSHE
2016-01-04,600371.XSHG
2016-01-04,600281.XSHG
2016-01-04,600506.XSHG
2016-01-04,000652.XSHE
2016-01-04,000892.XSHE
2016-01-04,002329.XSHE
2016-01-04,000788.XSHE
2016-01-04,601368.XSHG
2016-01-04,000419.XSHE
2016-01-04,002562.XSHE
2016-01-04,600260.XSHG
2016-01-04,603338.XSHG
2016-01-04,603598.XSHG
2016-01-04,600815.XSHG
2016-01-04,601618.XSHG
2016-01-04,603969.XSHG
2016-01-04,600645.XSHG
2016-01-04,600191.XSHG
2016-01-04,300382.XSHE
2016-01-04,300007.XSHE
2016-01-04,600288.XSHG
2016-01-04,600858.XSHG
2016-01-04,600365.XSHG
2016-01-04,600647.XSHG
2016-01-04,300193.XSHE
2016-01-04,002467.XSHE
2016-01-04,600622.XSHG
2016-01-04,002348.XSHE
2016-01-04,600582.XSHG
2016-01-04,002090.XSHE
2016-01-04,600661.XSHG
2016-01-04,002232.XSHE
2016-01-04,002326.XSHE
2016-01-04,002123.XSHE
2016-01-04,600816.XSHG
2016-01-04,300006.XSHE
2016-01-04,002402.XSHE
2016-01-04,000555.XSHE
2016-01-04,000760.XSHE
2016-01-04,603000.XSHG
2016-01-04,002120.XSHE
2016-01-04,600097.XSHG
2016-01-04,300078.XSHE
2016-01-04,002618.XSHE
2016-01-04,600588.XSHG
2016-01-04,300059.XSHE
2016-01-04,300196.XSHE
2016-01-04,600127.XSHG
2016-01-04,002318.XSHE
2016-01-04,600610.XSHG
2016-01-04,300448.XSHE
2016-01-04,600189.XSHG
2016-01-04,600895.XSHG
2016-01-04,002056.XSHE
2016-01-04,600586.XSHG
2016-01-04,300108.XSHE
2016-01-04,002439.XSHE
2016-01-04,300419.XSHE
2016-01-04,002740.XSHE
2016-01-04,300378.XSHE
2016-01-04,300020.XSHE
2016-01-04,600330.XSHG
2016-01-04,600715.XSHG
2016-01-04,002125.XSHE
2016-01-04,600615.XSHG
2016-01-04,300005.XSHE
2016-01-04,002102.XSHE
2016-01-04,002742.XSHE
2016-01-04,600279.XSHG
2016-01-04,600479.XSHG
2016-01-04,600819.XSHG
2016-01-04,603766.XSHG
2016-01-04,000835.XSHE
2016-01-04,600533.XSHG
2016-01-04,002196.XSHE
2016-01-04,600570.XSHG
2016-01-04,002365.XSHE
2016-01-04,300044.XSHE
2016-01-04,601801.XSHG
2016-01-04,002479.XSHE
2016-01-04,000595.XSHE
2016-01-04,601216.XSHG
2016-01-04,300275.XSHE
2016-01-04,300189.XSHE
2016-01-04,000863.XSHE
2016-01-04,002496.XSHE
2016-01-04,000529.XSHE
2016-01-04,000712.XSHE
2016-01-04,300341.XSHE
2016-01-04,300214.XSHE
2016-01-04,002113.XSHE
2016-01-04,300295.XSHE
2016-01-04,002436.XSHE
2016-01-04,000710.XSHE
2016-01-04,000727.XSHE
2016-01-04,600767.XSHG
2016-01-04,300211.XSHE
2016-01-04,000969.XSHE
2016-01-04,600775.XSHG
2016-01-04,603369.XSHG
2016-01-04,000050.XSHE
2016-01-04,603618.XSHG
2016-01-04,300119.XSHE
2016-01-04,600213.XSHG
2016-01-04,603998.XSHG
2016-01-04,300394.XSHE
2016-01-04,300191.XSHE
2016-01-04,600865.XSHG
2016-01-04,000739.XSHE
2016-01-04,300192.XSHE
2016-01-04,000014.XSHE
2016-01-04,002623.XSHE
2016-01-04,002218.XSHE
2016-01-04,000977.XSHE
2016-01-04,600644.XSHG
2016-01-04,603806.XSHG
2016-01-04,002127.XSHE
2016-01-04,000802.XSHE
2016-01-04,002226.XSHE
2016-01-04,002455.XSHE
2016-01-04,002213.XSHE
2016-01-04,002243.XSHE
2016-01-04,600163.XSHG
2016-01-04,600725.XSHG
2016-01-04,000616.XSHE
2016-01-04,002510.XSHE
2016-01-04,300091.XSHE
2016-01-04,002503.XSHE
2016-01-04,600573.XSHG
2016-01-04,600537.XSHG
2016-01-04,000893.XSHE
2016-01-04,002680.XSHE
2016-01-04,002334.XSHE
2016-01-04,002733.XSHE
2016-01-04,002012.XSHE
2016-01-04,300385.XSHE
2016-01-04,300475.XSHE
2016-01-04,002029.XSHE
2016-01-04,000012.XSHE
2016-01-04,300471.XSHE
2016-01-04,601519.XSHG
2016-01-04,300135.XSHE
2016-01-04,600400.XSHG
2016-01-04,300190.XSHE
2016-01-04,603126.XSHG
2016-01-04,300261.XSHE
2016-01-04,002476.XSHE
2016-01-04,002055.XSHE
2016-01-04,300084.XSHE
2016-01-04,600069.XSHG
2016-01-04,300107.XSHE
2016-01-04,002107.XSHE
2016-01-04,002063.XSHE
2016-01-04,002449.XSHE
2016-01-04,600665.XSHG
2016-01-04,002194.XSHE
2016-01-04,600640.XSHG
2016-01-04,300387.XSHE
2016-01-04,300291.XSHE
2016-01-04,300359.XSHE
2016-01-04,000068.XSHE
2016-01-04,300460.XSHE
2016-01-04,600500.XSHG
2016-01-04,300264.XSHE
2016-01-04,600614.XSHG
2016-01-04,002614.XSHE
2016-01-04,002388.XSHE
2016-01-04,603883.XSHG
