,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,order_book_id,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
1709,TYN,MainBoard,0000-00-00,XSHE,D44,电力、热力生产和供应业,1996-02-08,000591.XSHE,100.0,Utilities,公用事业,Normal,Active,太阳能,CS
1710,GKKJ,GEM,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2017-03-10,300620.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,光库科技,CS
1711,YZMY,MainBoard,0000-00-00,XSHG,B06,煤炭开采和洗选业,1998-07-01,600188.XSHG,100.0,Energy,能源,Normal,Active,兖州煤业,CS
1712,THY,MainBoard,0000-00-00,XSHG,C35,专用设备制造业,2002-08-09,600579.XSHG,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,天华院,CS
1713,TSFZ,MainBoard,0000-00-00,XSHE,C17,纺织业,1996-10-08,000611.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,天首发展,CS
1714,CTKJ,GEM,0000-00-00,XSHE,C35,专用设备制造业,2014-01-21,300358.XSHE,100.0,HealthCare,医疗保健,Normal,Active,楚天科技,CS
1715,SDSJ,GEM,0000-00-00,XSHE,M74,专业技术服务业,2015-12-23,300492.XSHE,100.0,Industrials,工业,Normal,Active,山鼎设计,CS
1716,ZYSC,MainBoard,0000-00-00,XSHG,F52,零售业,2000-09-26,600280.XSHG,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,中央商场,CS
1717,FLZY,MainBoard,0000-00-00,XSHE,A05,农、林、牧、渔服务业,1997-04-22,000713.XSHE,100.0,ConsumerStaples,必需消费品,Normal,Active,丰乐种业,CS
1718,MDGF,MainBoard,0000-00-00,XSHE,C28,化学纤维制造业,1997-06-19,000782.XSHE,100.0,Materials,原材料,Normal,Active,美达股份,CS
1719,LCXX,MainBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2000-06-08,000977.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,浪潮信息,CS
1720,MHZY,MainBoard,0000-00-00,XSHE,K70,房地产业,1996-12-05,000667.XSHE,100.0,Financials,金融,Normal,Active,美好置业,CS
1721,CCDG,MainBoard,0000-00-00,XSHG,C38,电气机械及器材制造业,1998-12-24,600192.XSHG,100.0,Industrials,工业,Normal,Active,长城电工,CS
1722,DLXC,GEM,0000-00-00,XSHE,C30,非金属矿物制品业,2017-09-12,300700.XSHE,100.0,Materials,原材料,Normal,Active,岱勒新材,CS
1723,HNFZ,MainBoard,0000-00-00,XSHE,D44,电力、热力生产和供应业,1997-05-22,000722.XSHE,100.0,Utilities,公用事业,Normal,Active,湖南发展,CS
