listed_date,order_book_id
2016-01-12,002751.XSHE
2016-01-12,002015.XSHE
2016-01-12,002371.XSHE
2016-01-12,600425.XSHG
2016-01-12,600318.XSHG
2016-01-12,300376.XSHE
2016-01-12,601106.XSHG
2016-01-12,300364.XSHE
2016-01-12,300459.XSHE
2016-01-12,603611.XSHG
2016-01-12,300053.XSHE
2016-01-12,300262.XSHE
2016-01-12,300418.XSHE
2016-01-12,600383.XSHG
2016-01-12,002227.XSHE
2016-01-12,000922.XSHE
2016-01-12,300078.XSHE
2016-01-12,600715.XSHG
2016-01-12,002514.XSHE
2016-01-12,300149.XSHE
2016-01-12,300113.XSHE
2016-01-12,300017.XSHE
2016-01-12,000779.XSHE
2016-01-12,600303.XSHG
2016-01-12,300379.XSHE
2016-01-12,300122.XSHE
2016-01-12,601177.XSHG
2016-01-12,002717.XSHE
2016-01-12,002602.XSHE
2016-01-13,300148.XSHE
2016-01-13,002265.XSHE
2016-01-13,002015.XSHE
2016-01-13,600651.XSHG
2016-01-13,002617.XSHE
2016-01-13,002014.XSHE
2016-01-13,600610.XSHG
2016-01-13,601001.XSHG
2016-01-13,000716.XSHE
2016-01-13,300265.XSHE
2016-01-14,300369.XSHE
2016-01-14,300413.XSHE
2016-01-14,600652.XSHG
2016-01-14,600868.XSHG
2016-01-14,300296.XSHE
2016-01-14,000971.XSHE
2016-01-14,000420.XSHE
2016-01-14,002755.XSHE
2016-01-14,300458.XSHE
2016-01-14,300253.XSHE
2016-01-14,002355.XSHE
2016-01-14,600765.XSHG
2016-01-14,000933.XSHE
2016-01-14,600391.XSHG
2016-01-14,300061.XSHE
2016-01-14,002407.XSHE
2016-01-14,002224.XSHE
2016-01-14,300073.XSHE
2016-01-14,002192.XSHE
2016-01-14,603117.XSHG
2016-01-14,600689.XSHG
2016-01-14,000681.XSHE
2016-01-14,002315.XSHE
2016-01-14,000576.XSHE
2016-01-14,002751.XSHE
2016-01-14,600603.XSHG
2016-01-14,002015.XSHE
2016-01-14,300097.XSHE
2016-01-14,600425.XSHG
2016-01-14,600318.XSHG
2016-01-14,300376.XSHE
2016-01-14,000798.XSHE
2016-01-14,300380.XSHE
2016-01-14,002336.XSHE
2016-01-14,000503.XSHE
2016-01-14,300364.XSHE
2016-01-14,002709.XSHE
2016-01-14,002030.XSHE
2016-01-14,300227.XSHE
2016-01-14,300299.XSHE
2016-01-14,600297.XSHG
2016-01-14,002273.XSHE
2016-01-14,002642.XSHE
2016-01-14,002130.XSHE
2016-01-14,002636.XSHE
2016-01-14,300447.XSHE
2016-01-14,300338.XSHE
2016-01-14,600651.XSHG
2016-01-14,600476.XSHG
2016-01-14,300390.XSHE
2016-01-14,300130.XSHE
2016-01-14,300231.XSHE
2016-01-14,600184.XSHG
2016-01-14,600756.XSHG
2016-01-14,300216.XSHE
2016-01-14,300016.XSHE
2016-01-14,300315.XSHE
2016-01-14,600664.XSHG
2016-01-14,002362.XSHE
2016-01-14,000738.XSHE
2016-01-14,300262.XSHE
2016-01-14,300271.XSHE
2016-01-14,300314.XSHE
2016-01-14,300277.XSHE
2016-01-14,300085.XSHE
2016-01-14,600408.XSHG
2016-01-14,002227.XSHE
2016-01-14,300151.XSHE
2016-01-14,300009.XSHE
2016-01-14,000881.XSHE
2016-01-14,002188.XSHE
2016-01-14,002123.XSHE
2016-01-14,300006.XSHE
2016-01-14,600097.XSHG
2016-01-14,600862.XSHG
2016-01-14,600610.XSHG
2016-01-14,300448.XSHE
2016-01-14,300108.XSHE
2016-01-14,002439.XSHE
2016-01-14,300378.XSHE
2016-01-14,300005.XSHE
2016-01-14,002502.XSHE
2016-01-14,002196.XSHE
2016-01-14,000529.XSHE
2016-01-14,300341.XSHE
2016-01-14,002436.XSHE
2016-01-14,300394.XSHE
2016-01-14,002127.XSHE
2016-01-14,300141.XSHE
2016-01-14,300100.XSHE
2016-01-14,600864.XSHG
2016-01-14,600241.XSHG
2016-01-14,300359.XSHE
2016-01-14,000762.XSHE
2016-01-14,300149.XSHE
2016-01-14,300202.XSHE
2016-01-14,300023.XSHE
2016-01-14,002460.XSHE
2016-01-14,300113.XSHE
2016-01-14,000779.XSHE
2016-01-14,300377.XSHE
2016-01-14,300249.XSHE
2016-01-14,600146.XSHG
2016-01-14,300379.XSHE
2016-01-14,300265.XSHE
2016-01-14,002239.XSHE
2016-01-14,300122.XSHE
2016-01-14,300276.XSHE
2016-01-14,300037.XSHE
2016-01-14,002717.XSHE
2016-01-14,300167.XSHE
2016-01-14,002506.XSHE
2016-01-14,300229.XSHE
2016-01-14,300131.XSHE
2016-01-14,600893.XSHG
2016-01-14,000957.XSHE
2016-01-14,300311.XSHE
2016-01-14,300165.XSHE
2016-01-14,300049.XSHE
2016-01-14,300452.XSHE
2016-01-14,002466.XSHE
2016-01-14,000756.XSHE
2016-01-15,600793.XSHG
2016-01-15,300386.XSHE
2016-01-15,000586.XSHE
2016-01-15,000576.XSHE
2016-01-15,600603.XSHG
2016-01-15,002015.XSHE
2016-01-15,300353.XSHE
2016-01-15,600610.XSHG
2016-01-15,000813.XSHE
2016-01-15,600864.XSHG
2016-01-15,300456.XSHE
2016-01-15,300023.XSHE
2016-01-15,300249.XSHE
2016-01-15,600806.XSHG
2016-01-15,000510.XSHE
2016-01-18,601919.XSHG
2016-01-18,600652.XSHG
2016-01-18,002596.XSHE
2016-01-18,002446.XSHE
2016-01-18,000048.XSHE
2016-01-18,300126.XSHE
2016-01-18,002320.XSHE
2016-01-18,002412.XSHE
2016-01-18,002559.XSHE
2016-01-18,300041.XSHE
2016-01-18,002355.XSHE
2016-01-18,000032.XSHE
2016-01-18,603838.XSHG
2016-01-18,300134.XSHE
2016-01-18,300168.XSHE
2016-01-18,300488.XSHE
2016-01-18,601866.XSHG
2016-01-18,000017.XSHE
2016-01-18,000815.XSHE
2016-01-18,300480.XSHE
2016-01-18,000586.XSHE
2016-01-18,000576.XSHE
2016-01-18,600880.XSHG
2016-01-18,002066.XSHE
2016-01-18,002371.XSHE
2016-01-18,600641.XSHG
2016-01-18,002346.XSHE
2016-01-18,002095.XSHE
2016-01-18,300097.XSHE
2016-01-18,002173.XSHE
2016-01-18,600965.XSHG
2016-01-18,600231.XSHG
2016-01-18,300388.XSHE
2016-01-18,300383.XSHE
2016-01-18,300294.XSHE
2016-01-18,600784.XSHG
2016-01-18,002667.XSHE
2016-01-18,300356.XSHE
2016-01-18,000010.XSHE
2016-01-18,002161.XSHE
2016-01-18,002137.XSHE
2016-01-18,300293.XSHE
2016-01-18,002070.XSHE
2016-01-18,002703.XSHE
2016-01-18,300079.XSHE
2016-01-18,002562.XSHE
2016-01-18,300193.XSHE
2016-01-18,000881.XSHE
2016-01-18,000555.XSHE
2016-01-18,600610.XSHG
2016-01-18,002655.XSHE
2016-01-18,600734.XSHG
2016-01-18,300191.XSHE
2016-01-18,600787.XSHG
2016-01-18,002471.XSHE
2016-01-18,300141.XSHE
2016-01-18,000838.XSHE
2016-01-18,002012.XSHE
2016-01-18,000410.XSHE
2016-01-18,300023.XSHE
2016-01-18,000716.XSHE
2016-01-18,002259.XSHE
2016-01-18,300377.XSHE
2016-01-18,300087.XSHE
2016-01-18,002175.XSHE
2016-01-18,002416.XSHE
2016-01-18,300093.XSHE
2016-01-18,600482.XSHG
2016-01-18,002147.XSHE
2016-01-18,000930.XSHE
2016-01-18,000509.XSHE
2016-01-18,300466.XSHE
2016-01-18,300276.XSHE
2016-01-18,600113.XSHG
2016-01-18,002717.XSHE
2016-01-18,300154.XSHE
2016-01-18,000584.XSHE
2016-01-18,002418.XSHE
2016-01-18,600806.XSHG
2016-01-18,000510.XSHE
2016-01-18,603568.XSHG
2016-01-19,002043.XSHE
2016-01-19,300230.XSHE
2016-01-19,300047.XSHE
2016-01-19,600463.XSHG
2016-01-19,300148.XSHE
2016-01-19,600677.XSHG
2016-01-19,600242.XSHG
2016-01-19,002446.XSHE
2016-01-19,000622.XSHE
2016-01-19,600797.XSHG
2016-01-19,000048.XSHE
2016-01-19,300126.XSHE
2016-01-19,600528.XSHG
2016-01-19,000628.XSHE
2016-01-19,002565.XSHE
2016-01-19,300217.XSHE
2016-01-19,002135.XSHE
2016-01-19,002320.XSHE
2016-01-19,002412.XSHE
2016-01-19,600385.XSHG
2016-01-19,000611.XSHE
2016-01-19,002626.XSHE
2016-01-19,601669.XSHG
2016-01-19,601800.XSHG
2016-01-19,000797.XSHE
